side,team,avg_rating,goals_per_min,minutes,avg_rating_bin
home,USA,1.75,0.9405194449486687,4.252968954,1.5-2.0
home,USA,1.75,1.0547022920554485,5.688809103,1.5-2.0
home,USA,1.875,0.0,1.149556623,1.5-2.0
home,USA,1.875,1.9933835686628902,3.511617187,1.5-2.0
home,USA,1.75,3.23603852806391,2.163138646,1.5-2.0
home,USA,1.875,0.0,2.155971509,1.5-2.0
home,USA,1.875,2.67366998692564,1.496070951,1.5-2.0
home,USA,1.875,1.8829649659313785,4.248618612,1.5-2.0
home,USA,2.0,0.0,1.945644603,1.5-2.0
home,USA,2.0,1.1993133350689076,3.335241828,1.5-2.0
home,USA,2.0,0.974486964576323,2.052361984,1.5-2.0
home,USA,2.0,0.0,2.612121918,1.5-2.0
home,USA,1.75,2.008913899518726,3.982251306,1.5-2.0
home,USA,1.75,0.4795598131984088,2.08524562,1.5-2.0
home,USA,1.75,0.7339713436977505,1.362451012,1.5-2.0
home,USA,2.0,1.1081585863190773,1.804795834,1.5-2.0
home,USA,1.875,0.0,1.549697764,1.5-2.0
home,USA,2.0,0.7910295214574676,3.792525966,1.5-2.0
home,USA,1.75,2.1738649455348926,1.840040711,1.5-2.0
home,USA,1.75,2.41549001416911,4.139946736,1.5-2.0
home,USA,1.75,2.436342015319587,1.231354211,1.5-2.0
home,USA,1.75,1.8791668905015428,1.596452138,1.5-2.0
home,USA,1.875,2.0745036924174203,2.892258048,1.5-2.0
home,USA,1.75,1.285818591639894,3.110858737,1.5-2.0
home,USA,1.75,0.0,0.633516852,1.5-2.0
home,USA,1.875,1.9141545719190984,2.089695398,1.5-2.0
home,USA,1.75,7.1278246624700605,0.70147629,1.5-2.0
home,USA,1.875,0.0,2.718042531,1.5-2.0
home,USA,1.875,1.390935956381873,6.470463258,1.5-2.0
home,USA,1.75,1.532054510405806,4.569028029,1.5-2.0
home,USA,1.75,1.486020483164425,2.691752937,1.5-2.0
home,USA,1.75,3.3208519511252526,1.505637732,1.5-2.0
home,USA,2.0,2.762502119736939,4.705878742,1.5-2.0
home,USA,1.875,1.7567164201210554,5.123194556,1.5-2.0
home,USA,1.75,5.0548854661776375,0.791313676,1.5-2.0
home,USA,2.0,2.9009640913210966,3.44712988,1.5-2.0
home,USA,2.0,2.199115239971477,5.456739957,1.5-2.0
home,USA,1.875,1.7254547465317214,1.738672084,1.5-2.0
home,USA,1.75,0.8295346174627927,4.821980802,1.5-2.0
home,USA,1.75,2.2387367048050963,4.466804863,1.5-2.0
home,USA,1.75,0.3676750205088391,2.719793144,1.5-2.0
home,USA,1.875,1.6941284607804434,1.77082203,1.5-2.0
home,USA,1.875,1.9984820665360405,2.501898858,1.5-2.0
home,USA,1.75,1.0784123105277323,3.709156471,1.5-2.0
home,USA,1.875,0.0,1.36700191,1.5-2.0
home,USA,2.0,9.037911571693394,0.331935091,1.5-2.0
home,USA,1.875,0.0,0.580698734,1.5-2.0
home,USA,2.0,1.3941571038766172,7.890072051,1.5-2.0
home,USA,1.875,1.4995190659977984,2.000641451,1.5-2.0
home,USA,1.75,1.127132180871161,2.661622169,1.5-2.0
home,USA,1.875,1.029637197562182,1.942431766,1.5-2.0
home,USA,1.75,0.7346327123312418,4.08367331,1.5-2.0
home,USA,1.875,0.4051159911708851,4.936857699,1.5-2.0
home,USA,1.75,1.3868634262202064,2.1631546,1.5-2.0
home,USA,2.0,1.976109512612413,2.530224144,1.5-2.0
home,USA,2.0,5.121134286178407,0.58580772,1.5-2.0
home,USA,1.75,1.8927814830747163,1.056646009,1.5-2.0
home,USA,1.875,0.8089075246442474,1.236235255,1.5-2.0
home,USA,1.875,2.523470331499853,6.340474782,1.5-2.0
home,USA,1.875,2.2265384734320306,1.796510614,1.5-2.0
home,USA,2.0,1.878906631055266,3.72557097,1.5-2.0
home,USA,1.875,2.7481701272107673,3.638784914,1.5-2.0
home,USA,1.875,2.6556621562491927,4.518647062,1.5-2.0
home,USA,2.0,2.5916241694467823,3.858584172,1.5-2.0
home,USA,1.75,2.0687516404230784,2.900299815,1.5-2.0
home,USA,1.75,4.02949836682153,3.226208033,1.5-2.0
home,USA,2.0,2.5063666236231787,1.994919639,1.5-2.0
home,USA,1.875,3.446861994935836,1.74071373,1.5-2.0
home,USA,1.75,0.7521986119476672,2.658872229,1.5-2.0
home,USA,1.875,1.6649185433566283,3.603779911,1.5-2.0
home,USA,1.875,2.3682635137483175,2.111251544,1.5-2.0
home,USA,1.75,0.9350907005298094,4.277659908,1.5-2.0
home,USA,2.0,2.0812794169593754,1.441421068,1.5-2.0
home,USA,2.0,2.5729812759418267,1.94327104,1.5-2.0
home,USA,1.75,1.4724575022288229,2.716546993,1.5-2.0
home,USA,1.75,2.0005555516092746,7.49791726,1.5-2.0
home,USA,1.75,1.7462602457292116,4.008566316,1.5-2.0
home,USA,1.875,2.164640783506278,1.847881658,1.5-2.0
home,USA,1.875,0.0,0.641690812,1.5-2.0
home,USA,1.875,2.675979238543525,3.73694977,1.5-2.0
home,USA,1.875,2.279779447132802,2.193194612,1.5-2.0
home,USA,2.0,0.0,0.886679502,1.5-2.0
home,USA,1.875,2.046525443381528,6.84086291,1.5-2.0
home,USA,1.75,0.9762231150171652,3.073067984,1.5-2.0
home,USA,2.0,1.4096442925357124,3.546994108,1.5-2.0
home,USA,1.75,0.0,1.431425349,1.5-2.0
home,USA,1.75,1.4292460006958705,2.099008847,1.5-2.0
home,USA,1.75,1.728470813989037,1.157092144,1.5-2.0
home,USA,2.0,1.766230440521245,1.69853261,1.5-2.0
home,USA,1.875,1.0538815590214494,2.846619693,1.5-2.0
home,USA,2.0,1.225161205261614,2.448657358,1.5-2.0
home,USA,1.875,0.7518027286390215,5.320544669,1.5-2.0
home,USA,1.875,1.8460467305703372,2.166792386,1.5-2.0
home,USA,1.75,1.1372277931483243,3.517325222,1.5-2.0
home,USA,1.75,0.8012538359756974,1.248043947,1.5-2.0
home,USA,1.875,0.9601503868956709,4.166014048,1.5-2.0
home,USA,2.0,1.7506662061772633,3.427266705,1.5-2.0
home,USA,2.0,1.9076566540841757,3.669423418,1.5-2.0
home,USA,2.0,1.8162041233204893,3.854192329,1.5-2.0
home,USA,1.75,2.2730567781374544,1.319808651,1.5-2.0
home,USA,2.0,6.961111900352955,0.861931267,1.5-2.0
home,USA,1.875,1.828466639073712,3.82834439,1.5-2.0
home,USA,1.75,0.84087647743847,1.189235312,1.5-2.0
home,USA,2.0,2.8416861047657966,1.759518756,1.5-2.0
home,USA,1.875,1.8976790496476454,4.742635485,1.5-2.0
home,USA,1.875,1.2386807410700604,1.614621051,1.5-2.0
home,USA,1.75,1.519585786860344,4.606518474,1.5-2.0
home,USA,1.875,2.200631254376265,2.726490405,1.5-2.0
home,USA,1.875,1.7794333340808732,2.809883295,1.5-2.0
home,USA,1.875,2.867094484757561,3.139066413,1.5-2.0
home,USA,1.875,2.7982373205424063,3.216310473,1.5-2.0
home,USA,2.0,1.6896344685215303,2.367375947,1.5-2.0
home,USA,1.75,2.3606750088625055,0.847215306,1.5-2.0
home,USA,2.0,2.7797422580329165,5.036438166,1.5-2.0
home,USA,1.875,2.7353586787893716,1.827913845,1.5-2.0
home,USA,2.0,3.5575831200311576,2.529807371,1.5-2.0
home,USA,2.0,7.144171282546691,0.699871238,1.5-2.0
home,USA,1.75,0.48756916642177245,2.050991057,1.5-2.0
home,USA,1.875,2.574271975540524,3.107674743,1.5-2.0
home,USA,1.75,0.9173334865451492,1.090116097,1.5-2.0
home,USA,1.875,2.2144007504539185,4.064304981,1.5-2.0
home,USA,1.75,1.75,8.0,1.5-2.0
home,USA,2.0,1.45684080152559,2.745667197,1.5-2.0
home,Japan,1.75,0.0,1.194012241,1.5-2.0
home,Japan,1.875,0.6217898385775192,3.216520882,1.5-2.0
home,Japan,1.875,1.2350584634067059,0.80967827,1.5-2.0
home,Japan,1.75,2.7195617529578455,1.470825215,1.5-2.0
home,Japan,2.0,0.7736990140536442,2.584984553,1.5-2.0
home,Japan,1.75,1.9456407394881587,2.055878004,1.5-2.0
home,Japan,1.875,1.1611890335221018,3.444744899,1.5-2.0
home,Japan,1.875,1.0825315680548788,0.92376059,1.5-2.0
home,Japan,1.875,2.78961493274104,1.075417243,1.5-2.0
home,Japan,1.75,0.0,2.15369156,1.5-2.0
home,Japan,2.0,2.481818503048223,3.626373157,1.5-2.0
home,Japan,1.875,1.6019331616776513,2.49698308,1.5-2.0
home,Japan,2.0,1.1384749501255684,3.513472123,1.5-2.0
home,Japan,1.75,0.6743403601080158,1.482930667,1.5-2.0
home,Japan,2.0,1.6419030470699452,1.82714808,1.5-2.0
home,Japan,2.0,0.0,0.123579436,1.5-2.0
home,Japan,2.0,0.0,0.81340691,1.5-2.0
home,Japan,1.75,1.1619978701307225,2.581760326,1.5-2.0
home,Japan,2.0,2.882073991168547,0.69394471,1.5-2.0
home,Japan,2.0,3.673657675884749,1.905457889,1.5-2.0
home,Japan,1.875,1.9077570633653622,1.048351511,1.5-2.0
home,Japan,1.875,1.4412916949071302,4.856754552,1.5-2.0
home,Japan,2.0,1.8076085909979238,2.766085548,1.5-2.0
home,Japan,2.0,0.0,0.544692566,1.5-2.0
home,Japan,2.0,2.8176231628631365,1.774545321,1.5-2.0
home,Japan,2.0,0.5273996199808854,3.792190825,1.5-2.0
home,Japan,1.875,0.0,1.31910232,1.5-2.0
home,Japan,1.875,3.8279793327510667,1.044937721,1.5-2.0
home,Japan,1.75,2.5499559595284835,2.74514545,1.5-2.0
home,Japan,1.875,2.126398230187892,6.113624351,1.5-2.0
home,Japan,2.0,4.2650207621717175,1.875723577,1.5-2.0
home,Japan,1.875,2.210761801063406,2.261663829,1.5-2.0
home,Japan,2.0,3.5399307176188866,1.977439831,1.5-2.0
home,Japan,2.0,3.51677260095306,6.255735726,1.5-2.0
